ID,Name,Address,City,State,Zip,ClassificationId,PayMethod,Salary,Hourly,Commission,Route,Account,Password,StartDate,Privilege,Department,Email,Phone,JobTitle,IsArchived
688997,Karina Gay,998 Vitae St.,Atlanta,GA,45169,1,1,45884.99,46.92,34,30417353-K,465794-3611,257aa184898fd161a059f24fe0484010745c28a1f5b0147cfd7718cca7fabf22,3/23/2010,administrator,IT,coolManager@gmail.com,555-321-9876,Cloud Solutions Architect,0
522759,TaShya D. Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.5,68.13,25,36644938-8,244269-0000,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,9/3/2002,employee,Fincanial,TaShyaSnow@gmail.com,555-456-1234,Investment Analyst,0
165966,Rooney Alvarado,4963 Nisl. St. Ap #185,Gillette,WY,20226,2,3,34532.37,21.53,24,37324307-8,422046-0739,541405b76280d1dc48192a599c38a797ae011fd2978fbc8dd3bafff02441cd90,5/17/1999,employee,HR,RooneyAlvarado@gmail.com,555-789-0123,Talent Acquisition Specialist,0
983010,Jolene Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23,15300058-1,828625-2906,9a4c2d9c3c0e08453f59757e7921ca1208b9e99302a4d647aee5fba93d039829,4/14/1994,employee,Legal,Jolene.B@gmail.com,555-246-1357,Contracts Manager,0
939825,Yoko M. Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13,44553589-3,785957-2104,8e874e344a5ce2258198fc69decd3ed82dc2db7f169df1408faaaa2a4daa5ace,3/4/1991,employee,Engineering,YokPitts@gmail.com,555-987-6543,Project Engineer,0
379767,Jin W. Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.1,82.98,33,21038669-6,654904-8491,26ab9fd130e7ec34091b3b03b8d50a556f531f6c1f87cc8cd536141b83d35e25,9/5/1996,administrator,Support,Jin.Morris0n@gmail.com,555-369-2580,Technical Support Representative,0
900100,Sopoline Bullock,4963 Nisl. St. Ap #579,Idaho Falls,ID,65094,1,2,81929.49,42.76,16,46979340-0,485847-0083,5418a99707d5eef62a9f18ec1cc48e06410aea8596b662fc67c5b755fb5f42fe,10/13/1964,employee,Fincanial,S.Bullock@gmail.com,555-802-4731,Tax Consultant,0
969829,Bruce A. Raymond,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22,28504011-6,397558-4404,92ac0f45e580b20838f241267cd318cc88c59dcff27ea1325e4a2a5d80f3a4a6,6/30/1965,employee,Engineering,BrucRaymond@gmail.com,555-174-6298,Materials Engineer,0
283809,Hanae Dickson,1633 Dolor Av.,Dover,DE,61813,1,2,51018.46,91.22,35,48786143-K,295643-0090,669397e8ded7b53226b16c8c64d308d359b8e390315a512aa036951a3b2f8fbc,8/8/2007,employee,IT,Hanae@gmail.com,555-763-0241,Mobile Application Developer,0
224568,Jenna B. Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.7,23,33878326-4,248847-6397,cf0cadcf6391e5fe32b0ac861bcac49254fdc321d5e3db25678efc838252df40,11/25/2015,employee,Engineering,JennaStrickland@gmail.com,555-935-8164,Environmental Engineer,0
752867,Ruth S. Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,cd011c3f9c5b68625fd9f2e79774b6961ed080e537c63ed362a81cb90a735c5b,2/19/2004,employee,Support,RuthHaley@gmail.com,555-670-3198,Customer Service Manager,0
163695,Beatrice P. Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,bcfb90d1bc1e38344027f084751d4ce149534185d5c3b4095fc0eac9e829fb6a,7/11/2017,employee,IT,BeatriceWare@gmail.com,555-218-9476,Machine Learning Engineer,0
226423,Randall Horton,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.6,57.05,31,13255163-4,104934-8350,ed5db3fcb1385ba6e5e30b0d6d2f2bd79eacd43afb5ca6a807ee57f71c2a7408,5/4/2009,employee,HR,RandallHorton@gmail.com,555-754-2369,HR Generalist,0
349833,Damian Garrison,1646 In Street,San Francisco,CA,95787,2,2,99571.55,82.41,19,45550736-7,779184-5410,936d210549a6a3c78423a3793836e06494157be6baf25efed792cac2da27509c,1/14/2001,employee,Support,DamianGarrison@gmail.com,555-310-4862,Operations Support Specialist,0
531061,Alvin Guerrero,248 Mauris St. Ap #748,Indianapolis,IN,92237,2,2,56430.96,38.42,27,16935557-6,994966-8363,0bf88a6e3a1cf87583ebaacfa0402b3fba11b06011f84e9899a63ddaf6fbf166,8/17/2011,employee,HR,AlvinGuerrero@gmail.com,555-582-7309,Employee Relations Specialist,0
169927,Alexandra Y. Duke,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13,23609043-4,538878-8548,81a6cdcb502141958849cd12cabd999e801c434bda68f4a227cf89e9f30e8029,3/12/2004,employee,Engineering,AlYDuke@gmail.com,555-943-8172,Control Systems Engineer,0
454912,Sylvester J. Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.2,32,5363288-2,339235-5453,40a7920e7e09f952fad310f8cbaed50f69ccea05a7e062828bbe7636ccb62501,9/28/2009,employee,Support,Sylvesterd@gmail.com,555-286-4351,Technical Writer,0
285767,Porter Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,79ad1b236aa25f8b15b5232e2dba1b93ff83c4d757afaf2ffe2edf79d5ac27ed,4/4/2010,employee,IT,PortWolfe@gmail.com,555-628-1793,Data Scientist,0
674261,Scott T. Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,d9764aa075789b51f021e33f7c90d8996093ce792468c9b06a745fa09d2e8bc0,10/18/2002,employee,Engineering,ScottTShields@gmail.com,555-359-8124,Geotechnical Engineer,0
265154,Amir Mcintosh,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27,8752077-3,866009-0500,449fe9b3ae0522e00cb2c08ec8fd3f921a2a2a3bb00d15a38dad6ba76f94feb7,7/5/2014,employee,HR,AmirMcintosh@gmail.com,555-764-2918,HRIS Analyst,0
