ID,Name,Address,City,State,Zip,ClassificationId,PayMethod,Salary,Hourly,Commission,Route,Account,Password,StartDate,Privilege,Department,Email,Phone,JobTitle,IsArchived
522759,TaShya D. Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.5,68.13,25,36644938-8,244269-0000,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,9/3/2002,employee,Fincanial,TaShyaSnow@gmail.com,555-456-1234,Investment Analyst,0
752867,Ruth S. Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,cd011c3f9c5b68625fd9f2e79774b6961ed080e537c63ed362a81cb90a735c5b,2/19/2004,employee,Support,RuthHaley@gmail.com,555-670-3198,Customer Service Manager,0
163695,Beatrice P. Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,bcfb90d1bc1e38344027f084751d4ce149534185d5c3b4095fc0eac9e829fb6a,7/11/2017,employee,IT,BeatriceWare@gmail.com,555-218-9476,Machine Learning Engineer,0
169927,Alexandra Y. Duke,P.O. Box 727,Springfield,MA,50647,2,2,31631.98,95.73,13,23609043-4,538878-8548,81a6cdcb502141958849cd12cabd999e801c434bda68f4a227cf89e9f30e8029,3/12/2004,employee,Engineering,AlYDuke@gmail.com,555-943-8172,Control Systems Engineer,0
454912,Sylvester J. Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.2,32,5363288-2,339235-5453,40a7920e7e09f952fad310f8cbaed50f69ccea05a7e062828bbe7636ccb62501,9/28/2009,employee,Support,Sylvesterd@gmail.com,555-286-4351,Technical Writer,0
285767,Porter Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,79ad1b236aa25f8b15b5232e2dba1b93ff83c4d757afaf2ffe2edf79d5ac27ed,4/4/2010,employee,IT,PortWolfe@gmail.com,555-628-1793,Data Scientist,0
674261,Scott T. Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,d9764aa075789b51f021e33f7c90d8996093ce792468c9b06a745fa09d2e8bc0,10/18/2002,employee,Engineering,ScottTShields@gmail.com,555-359-8124,Geotechnical Engineer,0
265154,Amir Mcintosh,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27,8752077-3,866009-0500,449fe9b3ae0522e00cb2c08ec8fd3f921a2a2a3bb00d15a38dad6ba76f94feb7,7/5/2014,employee,HR,AmirMcintosh@gmail.com,555-764-2918,HRIS Analyst,0
426824,Mira Y. Wolf,37224 Pharetra Ave,Savannah,GA,22329,1,2,45576.8,26.99,34,12666803-1,158217-3462,4f56d5902c1dd23b906f5be588fb540695eac8a1daf22c785a45fe08d5c4c68b,2/3/2010,employee,IT,MiraWolf@gmail.com,555-432-1987,Blockchain Developer,0
502141,Brock Sandoval,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,26.25,32,13977869-3,906688-1963,c9a2b4ddb5e6950d8ee985f266002cb164909512bbc6ba86f9a48372fa3b6476,12/15/2020,employee,HR,B.Sandoval@gmail.com,555-674-3120,Compensation Manager,0
934003,Kelsey K. Saunders,9920 Aliquam Av. Ap #128,Salt Lake City,UT,97100,1,1,42548.72,31.24,18,37723944-K,769125-4564,264620a1428b25dba3426c07bedf3b6634ccfc377bd5f279a58c62d7ae9052a9,1/24/2019,employee,Legal,KKSaunders@gmail.com,555-928-7451,Corporate Counsel,0
